Subject,Sex,Treatment,body_length,age,mass
Sample3,Male,Control,4.5366323,11,8.459178
Sample4,Male,Control,1.0883156,8,3.871743
Sample5,Male,Control,3.5529698,10,3.119359
Sample6,Male,Treatment,8.1889194,4,9.37979
Sample7,Male,Treatment,8.446919,8,7.139136
Sample8,Male,Treatment,0.8932405,11,7.40665
Sample10,Male,Treatment,8.4612288,3,12.258535
Sample11,Female,Control,2.8990112,10,19.778367
Sample12,Female,Control,5.3681297,5,3.990704
Sample13,Female,Control,2.8823068,3,8.649901
Sample14,Female,Control,3.8172869,3,9.058355
Sample15,Female,Control,4.1513766,1,5.007906
Sample16,Female,Treatment,1.7283888,7,10.061725
Sample17,Female,Treatment,2.0265398,0,8.801893
Sample18,Female,Treatment,3.8518742,4,1.109786
Sample19,Female,Treatment,10.707075,6,16.109947
